oragnisation chart;organigramme
box;case
diagram;diagram,schema,graphique
draft;brouillon,premier jet
flowchart;diagramme
graph;graphique
layout;plan,mise en page,presentation
mind map;carte heuristique,carte des idees
spidergramme;carte heuristique,carte des idees
network diagram;schema des reseaux
organization chart;organigramme
org chart;organigramme
outline;schema,grandes lignes
pie chart;graphique a secteurs,camembert
template;modele inforamtique
UML;langage de modelisation unifie
Unified Modeling Language;langage de modelisation unifie
unknows;inconnus
to chart;tracer
mind mapping;brainstorming
CEO;PDG
administrative;secretariat administratif
sales and purchasing manager;responsable des ventes et achats
financial coordinator;coordinateur financier
planning and budget;planification et budget
purchasing assistant;adjoint aux achat
financial analyst;analyste financier
innovation strategy;strategie et innovation
sales assistant;adjoint aux ventes
accountant;comptable
research&development;R&D
to benefit from;profiter de
to be acountable for;etre responsable de
to be in charge of;etre responsable de
accountant;comptable
accountancy;comptabilite
auditee;audite
auditor;auditeur
board of directors;conseil d'administration
chairman;president
chairwoman;presidente
clerk;employe de bureau
foreman;contremaitre
human ressources;ressources humaines
to implement;appliquer,executer,mettre en oeuvre
junior executive;cadre moyen
management;direction,gestion
managing director;directeur general
partner;associe
personnel manager;chef du personnel
procurement department;service des approvisionnements
production line;chaine de production
production manager;directeur de production
proxy;mandataire,delegue,fonde de pouvoir
purchasing manager;directeur des achats
Quality Assurance QA;assurance qualite
Quality Controller QC;controleur qualite
Quality Manager QM;directeur qualite
sales manager; directeur commercial
senior executive;cadre superieur
supervisor; contremaitre en usine
training manager;responsable des formations
warehouseman;magasinier
watchman;gardien de nuit
worker;ouvrier
laborer;ouvrier
workshop;atelier
positions;postes
meeting;reunion
seminar;seminaire
lecture;conference
convention;convention
to adress;s'occuper,aborder
to adjourn;suspendre
agenda;ordre du jour
Annual General Meeting;assemblee generae annuelle
to allocate;attribuer,affecter
asap;le plus tot possible,dans les plus brefs delais
a soon as possible;le plus tot possible,dans les plus brefs delais
ballot;scrutin,bulletin
boardroom;salle du conseil, salle de reunion
casting vote;vote decisif
closing remarks;phrase de conlusion
consensus;consensus
deadline;date limite,delai
grievance,grief
guest speaker;invite
to implement;executer,appliquer
mandatory;obligatoire
minutes;compte rendu
motion;motion,proposition
opening remarks;introduction
overhead projector;retroprojecteur
proxy vote;vote par procuration
show of hands;vote a main levee
to wrap up;finir,conclure
agenda;ordre du jour
attendance;presence
promptly;precisement,ponctuellement
a leave;un conge
short notice;peu de temps a l'avance
grievances;plaintes
to acknowledge receipt;accuser reception
adress;adresse
carbon copy;a envoyer copie
cover letter;lettre de motivation
certified true copy;copie conforme
dot;point sur internet
duplicate;copie
Enclosed please find;Veuillez trouver ci-joint
Frequently Asked Questions;foire aux questions
field;champ
fountain pen;stylo plume
I look forward to hearing from you;Dans l'attente de vous lire
miscellaneous;divers
pen pal;correspondant
provider;fournisseur d'acces
recipient;destinataire
resume;CV
rubber;gomme
eraser;gomme
ruler;regle
search engine;moteur de recherche
sender;expediteur
snail mail adress;adresse postale
stationery;article de papeterie
enclosed;ci-joint
short run;court terme
tied up;occupe
forward;expedier
look into;examiner
feel free;n'hesiter pas
regarding;concernant
to bar;exclure,interdire
agreement;accord,contrat
to be bound;etre lie
binding;qui lie,qui engage
breach of contrat;rupture de contrat
claim;revendication,reclamation
claimant;ayant droit,requerant,demandeur
to cover;assurer,couvrir
disclosure;revelation,divulgation
easement;droit de passage
enforceable;applicable
fixed-term contract;CDD
to grant;accorder
guaranty;garantie
guarantee;garantie
implementation;execution,application
to incur;contracter,subir,encourir
landlord;proprietaire
lease;bail
open-ended contract;CDI
rolling contract;CDI
party;partie
to be a party to a contract;etre partie dans un contrat
purport;intention,signification
real estate;immobilier
security deposit;caution
settlement;accord
spousal consent;consentement entre epoux
tenant;locataire
to terminate;resilier
salaries;salaire
benefits;avantages
award;recompense
compensatory time;RTT
domestic partner benefits;avantages pour couple non maries
health insurance;mutuelle sante
leave;congé
maternity leave;conge maternite
sick leave;conge maladie
minimum wage;salaire minimum,smic
"off-the-clock" work;travail en dehors des heures ouvrees
on-call;de garde,de service
vertime;heures supplementaires
paid leave;conges payes
pay docking;retenue sur salaire
perks;avantages sur salaire,primes,a-cote
promotion;promotion
rellocation expenses;frais de demenagement,indemnites de relogement
retirement plan;plan de retraite
schedule;emploi du temps
tip;pourboire
unpaid leave;suspension,exclusion temporaire non remuneree
vacation accrual;accumulation de jours de conge
wages;salaire
currency;monnaie,devise
lawsuit;proces,action judiciaire
regulatory;de controle,reglementaire
ompaany policy;politique de l'entreprise
to cut spending;reduire les depenses
a fine;amende,penalite financiere
ob application;candidature
interview;entretien
adjustement;mise a niveau
to apply;postuler
to assess;evaluer,estimer
assessmentsheet;feuille d'evaluation
appraisal sheet;feuille d'evaluation
Bachelor's degree;licence
exertise;savoir-faire
knowhow;savoir-faire
to follow up;relancer,assurer le suivi
follow up letter;lettre de relance
to hire;embaucher
to fire;renvoyer
hands-on experience;experience pratique
Master's degree;mastere
Master's of Arts;mastere es lettres
Master's degree in business Administration;mastere de gestion
Master's of science;mastere es sciences
to provide references;donner ses references
to qualify for something;avoir les diplomes pour
to recruit;recruter
references;references
referees;references
seasonal work;travail saisonnier
to send off a resume;envoyer son CV
shortcomings;defauts
flaws;defauts
special field;specialite
major;specialite
to turn down an offer;refuser une offre
vacancy;poste vacant
work experience;experience professionnelle
abroad;a l'etranger
assessement;bilan,evaluation
to carry out a work placement;faire un stage
to carry out an internship;faire un stage
to carry out a training period;faire un stage
flexibility;souplesse
graduate;diplome
intern;stagiaire
trainee;stagiaire
liaison officer;responsable de la communication
overseas;outre-Atlantique
placement tutor;tuteur,maitre de stage
placement mentor;tuteur,maitre de stage
sandwich cours;formation en alternance ou comprenant un stage
skills;competences
training periode;stage de formation
versatile;polyvalent
to aim;viser
goals;objectifs,buts
to be committed to;se consacrer a
to achieve;accomplir,atteindre
balance;equilibre
protracted;prolonger
tailored;adapte
approach;demarche
relevant;pertinent
draft;brouillon
self-assessment;auto-evaluation
insurance;assurances
accident;sinistre
accident report;constat
accounts receivable;compte client
Act of God;cas de force majeure
all-risk policy;assurance tous risques
to cancel a contract;annuler un contrat
to take out a contract;souscrire un contrat
casualty;victime
to claim compensation;demander reparation
to claim damages;demander des dommages
claimant;sinistre
compensation;indemnite
cover;couverture
damage;dommages et interets
estimate;devis
quotation;devis
quote;devis
to draw up an estimate;etablir un devis
excess;franchise
deductible;franchise
insurance broker;assureur
insurance policy;police d'assurance
health insurance;assurance maladie
liability insurance;assurance civile,au tiers
life insurance;assurance vie
notice of loss;declaration de sinistre
out-of-court settlement;reglement a l'amiable
policy holder;titulaire d'une assurance
premium;prime
provision;clause
to settle a claim;regler un litige
to take action against;se retourner contre
third party;tiers
unlimited liability;responsabilite illimitee
adjustement;mise a niveau
agri-food;agroalimentaire
auditor;auditeur
auditee;audite
defect;defaut
dependability;surete de fonctionnement
to enhance;rehausser,mettre en valeur
food cahin;chaine alimentaire
hazards;dangers
to implement;mettre en oeuvre,appliquer
labelling;etiquetage
to monitor;surveiller
nonconforming;non conforme
objective evidence;preuve tangible
performer;executant
pest control;lutte antiparasitaire
provider;fournisseur
supplier;fournisseur
quality approach;demarche qualite
quality assessment;evaluation de la qualite
quality loop;boucle de la qualite
retail;vente au detail
wholesale;vente en gros
sample;echantillon
to sample;prelever
standard;norme
traceability;traçabilite